,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
83,-10.0,-10.0,-10.0,4.831,2.7784,6.605700000000001,0.9870472161572131
84,10.0,10.0,10.0,-9.6564,-10.0,11.0607,0.9891719757666518
85,10.0,10.0,10.0,-4.2304,-10.0,6.625500000000001,0.9884121816685976
86,-10.0,-10.0,-10.0,4.017,10.0,2.1651000000000002,0.9898244147895009
87,-10.0,-10.0,-10.0,10.0,-6.4264,6.728400000000001,0.9911269089422632
88,-10.0,-10.0,-10.0,4.0698,7.5002,2.1798,0.9913437287977757
89,-10.0,-10.0,-10.0,4.1578,10.0,11.142900000000001,0.9835768931348718
90,-10.0,-10.0,-10.0,3.718,4.2234,6.7068,0.9883061620355149
91,-10.0,-10.0,-10.0,10.0,10.0,6.613200000000001,0.992226620198549
92,10.0,10.0,10.0,-9.844800000000001,1.9420000000000002,2.3004000000000002,0.9905204086522524
93,-10.0,-10.0,-10.0,10.0,6.6108,2.145,0.9906987763111168
94,-10.0,-10.0,-10.0,4.897200000000001,1.0772000000000002,2.1882,0.9927229825137343
95,9.106200000000001,-6.2978000000000005,9.0534,-9.7668,-9.359,23.801700000000004,0.9834763614195751
96,10.0,10.0,10.0,-10.0,-1.1082,2.3157,0.988014321825632
97,-10.0,-10.0,-10.0,10.0,-4.5920000000000005,11.157000000000002,0.9899274975748408
98,-10.0,-9.295,-10.0,10.0,7.0136,8.526900000000001,0.9901053448419197
99,-10.0,-10.0,-10.0,4.3072,-6.7462,6.7536000000000005,0.9831287608215056
