,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
20,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,2.8644000000000003,0.9633901912153997
21,-10.0,-10.0,-10.0,-10.0,10.0,6.8344000000000005,-10.0,2.6604,0.9480355127273504
22,10.0,10.0,10.0,10.0,-2.3448,-10.0,10.0,2.5425000000000004,0.8974321657846127
23,-10.0,-10.0,-10.0,-10.0,6.178800000000001,10.0,-2.1866000000000003,2.5692000000000004,0.9133354284615396
24,-10.0,-10.0,-10.0,-10.0,10.0,-7.760400000000001,10.0,2.7588000000000004,0.9657672429989377
25,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-0.516,2.9823000000000004,0.9412277015776798
26,-10.0,-10.0,-10.0,-10.0,10.0,0.069,5.8180000000000005,28.0194,0.9627079513916161
27,10.0,10.0,10.0,10.0,0.6666000000000001,10.0,-10.0,2.5947000000000005,0.9040065448290469
28,-10.0,-10.0,-10.0,-10.0,10.0,-0.7612,10.0,2.7483000000000004,0.9657849103156453
29,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,2.5257,0.8928803967053078
30,10.0,10.0,10.0,10.0,-10.0,-2.6656,8.592,2.6088000000000005,0.9311040342772129
31,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,2.6799000000000004,0.953211694030877
32,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,2.8656,0.9640553603185377
33,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,2.9493000000000005,0.9510478670492174
34,10.0,10.0,10.0,10.0,2.1164,-0.07880000000000001,-7.409000000000001,3.015,0.9150743439539151
35,-10.0,-10.0,-10.0,-10.0,-1.6954,-0.9138000000000001,1.1904000000000001,3.0177000000000005,0.9156855107631383
36,10.0,10.0,10.0,10.0,-10.0,-9.0028,-0.3568,2.8416,0.9686877348915207
37,-10.0,-10.0,-10.0,-10.0,7.811400000000001,0.2394,-0.4544,3.0492000000000004,0.9145048551019875
38,-10.0,-10.0,-10.0,-10.0,1.746,10.0,10.0,3.0033000000000003,0.9289066707626753
39,-10.0,-10.0,-10.0,-10.0,10.0,-4.7916,10.0,22.611,0.911974391618213
40,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.6775,0.9499367234888627
41,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,2.7036000000000002,0.9557827616849814
42,-10.0,-10.0,-10.0,-10.0,0.8898,-0.376,-6.4848,28.046400000000002,0.9132474602597802
43,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,2.9181000000000004,0.9548150812379943
44,-10.0,-10.0,-10.0,-10.0,10.0,-3.886,10.0,2.8395,0.9687161438591604
45,10.0,10.0,10.0,10.0,-10.0,-6.048,-10.0,28.339800000000004,0.9197910736701476
46,-10.0,-10.0,-10.0,-10.0,1.8154000000000001,10.0,0.5726,2.6808,0.9472355341457109
